Original Name,Label,Generated Name
ripple logistics S.A.R.L.,ripple,"""ripple"""
strata transport,strata,"""strata"""
pendulum logistics Schweiz,pendulum,"""pendulum"""
ambergris transport,ambergris,"""ambergris"""
andes transportes,andes,"""andas"""
fjordline logistik S.A.R.L.,fjordline,"""fjord"""
meridian logistics Italia B.V.,meridian,"""meridian"""
jurassic-logistics,jurassic,"""jurassic"""
vivid-logistik KGaA,vivid,"""vivid"""
xplore logistics Sverige GmbH & Co. KG,xplore,"""xplore"""
atlas logistics group België GmbH & Co. KG,atlas,"""atlas"""
banyan transport Sverige,banyan,"""banyan"""
barley logistics S.L.,barley,"""barley"""
everest-logistics,everest,"""everest"""
quasar transport GmbH,quasar,"""quasar"""
lemur-logistics Italia S.L.,lemur,"""lemur"""
wharf transport Austria,wharf,"""wharf"""
solstice logistik Polska AG,solstice,"""solstice"""
ion express Italia GmbH & Co. KG,ion,"""ion"""
everest-logistics B.V.,everest,"""everest"""
mirage transport Sverige GmbH & Co. KG,mirage,"""mirage"""
whisper-transport,whisper,"""whisper"""
zircon logistics GmbH & Co. KG,zircon,"""zircon"""
solstice-logistics Sverige GmbH & Co. KG,solstice,"""solstice"""
balsam-logistics Ltd,balsam,"""balsam"""
ultra express USA GmbH,ultra,"""ultra"""
jurassic-logistics AG,jurassic,"""jurassic"""
sirocco logistique België B.V.,sirocco,"""sirocco"""
jurassic logistics SARL,jurassic,"""jurassic"""
firenza-express,firenza,"""firas"""
kinetic transport Norge KGaA,kinetic,"""kinetic"""
kinetic transport Italy B.V.,kinetic,"""kinetic"""
fjordline logistics Sverige,fjordline,"""fjord"""
solara transport GmbH & Co. KG,solara,"""solara"""
strata transport Česko Ltd,strata,"""strata"""
lotus logistics Austria B.V.,lotus,"""lotus"""
jade logistics Polska S.L.,jade,"""jade"""
quartz-transport Italy,quartz,"""quartz"""
kasbah transport GmbH,kasbah,"""kasbah"""
yonder-logistik GmbH & Co. KG,yonder,"""yonder"""
caldera transport Česko GmbH,caldera,"""caldera"""
laguna transporte Danmark GmbH & Co. KG,laguna,"""laguna"""
sequoia transporte Deutschland S.A.,sequoia,"""sequoia"""
fjord transport,fjord,"""fjord"""
riviera transport,riviera,"""riviera"""
zircon logistics España Inc,zircon,"""zircon"""
terra transport Österreich,terra,"""terra"""
jasper logistics B.V.,jasper,"""jasper"""
firenza express,firenza,"""firasina"""
quasar transport KG,quasar,"""quasar"""
wildwood transport Portugal,wildwood,"""wildwood"""
everest-logistics France GmbH & Co. KG,everest,"""everest"""
xenon logistics UK KG,xenon,"""xenon"""
palmar transporte GmbH & Co. KG,palmar,"""palmar"""
tundra transportes SARL,tundra,"""tundra"""
waratah logistics Norge SARL,waratah,"""waratah"""
nebula logistique Switzerland S.L.,nebula,"""nebula"""
gaia logistics Italy B.V.,gaia,"""gaia"""
granite logistics Luxembourg,granite,"""granite"""
falcon transport Austria Inc,falcon,"""falcon"""
umbriel logistik Inc,umbriel,"""umbriel"""
jade-logistics GmbH & Co. KG,jade,"""jade"""
kaldera transport S.A.R.L.,kaldera,"""kaldera"""
laguna transportes Deutschland,laguna,"""laguna"""
umbriel-logistics Luxembourg S.A.R.L.,umbriel,"""umbriel"""
orbis transport Italia AG,orbis,"""orbis"""
zircon-logistics B.V.,zircon,"""zircon"""
equator logistics Portugal KG,equator,"""equator"""
barley logistik Portugal KG,barley,"""barley"""
umbriel logistics Italy KG,umbriel,"""umbriel"""
hadrian logistics UK SARL,hadrian,"""hadrian"""
kaldera transport,kaldera,"""kaldera"""
banyan transport Austria,banyan,"""banyan"""
hadrian-logistics S.A.,hadrian,"""hadrian"""
jaguar logistics,jaguar,"""jaguar"""
quartz-transport GmbH & Co. KG,quartz,"""quartz"""
lilac logistics Belgique,lilac,"""lilac"""
alpine freight Polska AG,alpine,"""alpine"""
vector freight AG,vector,"""vector"""
nocturne-logistics Deutschland GmbH,nocturne,"""nocturne"""
fjordline logistics Luxembourg SARL,fjordline,"""fjord"""
xanthe logistics,xanthe,"""xanthe"""
xanthe-logistics Norge AG,xanthe,"""xanthe"""
ambergris transport UK KG,ambergris,"""ambergris"""
boreal transport,boreal,"""boreal"""
solstice express KG,solstice,"""solstice"""
dorsal logistics KGaA,dorsal,"""dorsal"""
riviera-transport France S.L.,riviera,"""riviera"""
kinetic-transport Ltd,kinetic,"""kinetic"""
fjord-transport B.V.,fjord,"""fjord"""
xanthe logistics GmbH & Co. KG,xanthe,"""xanthe"""
